title,department,center,teacher,start_date,end_date,min_cost,max_cost,days,course_link
اکستنشن مژه,دانش سلامت,پارک ساعی,مشخص نشده,پنجشنبه ۷ اسفند ۱۴۰۴,پنجشنبه ۲۸ اسفند ۱۴۰۴,"۶۲,۴۰۰,۰۰۰","۶۲,۴۰۰,۰۰۰",پنجشنبه ساعت ۱۰:۰۰ تا ۱۵:۰۰,https://mftplus.com/lesson/5115/اکستنشن-مژه
مراقبت و زیبایی دست و ناخن,دانش سلامت,پارک ساعی,مشخص نشده,پنجشنبه ۷ اسفند ۱۴۰۴,پنجشنبه ۲۸ اسفند ۱۴۰۴,"۷۲,۸۰۰,۰۰۰","۷۲,۸۰۰,۰۰۰",جمعه ساعت ۱۵:۰۰ تا ۲۰:۰۰ | پنجشنبه ساعت ۱۵:۰۰ تا ۲۰:۰۰,https://mftplus.com/lesson/4960/مراقبت-و-زیبایی-دست-و-ناخن
PLC Basics:  Siemens S7/300 & 400,برق و الکترونیک,میرداماد,مشخص نشده,پنجشنبه ۷ اسفند ۱۴۰۴,پنجشنبه ۱۰ اردیبهشت ۱۴۰۵,"۷۰,۰۰۰,۰۰۰","۷۰,۰۰۰,۰۰۰",پنجشنبه ساعت ۱۴:۳۰ تا ۱۷:۳۰,https://mftplus.com/lesson/4549/PLC-Basics:-Siemens-S7/300-&-400
اصول مدیریت پروژه بر اساس استاندارد PMBOK 8,علوم مهندسی,میرداماد,مشخص نشده,پنجشنبه ۷ اسفند ۱۴۰۴,پنجشنبه ۲۰ فروردین ۱۴۰۵,"۵۲,۵۰۰,۰۰۰","۵۲,۵۰۰,۰۰۰",پنجشنبه ساعت ۰۹:۳۰ تا ۱۴:۳۰,https://mftplus.com/lesson/6578/اصول-مدیریت-پروژه-بر-اساس-استاندارد-PMBOK-8
عکاسی دیجیتال,هنر و سینما,میرداماد,مشخص نشده,پنجشنبه ۷ اسفند ۱۴۰۴,پنجشنبه ۱۵ مرداد ۱۴۰۵,"۸۵,۹۰۰,۰۰۰","۸۵,۹۰۰,۰۰۰",پنجشنبه ساعت ۰۹:۳۰ تا ۱۳:۳۰,https://mftplus.com/lesson/4919/عکاسی-دیجیتال
عکاسی با موبایل,تولید محتوا,میرداماد,مشخص نشده,پنجشنبه ۷ اسفند ۱۴۰۴,پنجشنبه ۱۷ اردیبهشت ۱۴۰۵,"۴۶,۱۰۰,۰۰۰","۴۶,۱۰۰,۰۰۰",پنجشنبه ساعت ۰۹:۳۰ تا ۱۳:۳۰,https://mftplus.com/lesson/6519/عکاسی-با-موبایل
آشنایی با بازاریابی در صنعت مد,فناوری مد و پوشاک,میرداماد,مشخص نشده,پنجشنبه ۷ اسفند ۱۴۰۴,پنجشنبه ۲۸ اسفند ۱۴۰۴,"۲۷,۶۰۰,۰۰۰","۲۷,۶۰۰,۰۰۰",پنجشنبه ساعت ۰۹:۰۰ تا ۱۲:۰۰,https://mftplus.com/lesson/6317/آشنایی-با-بازاریابی-در-صنعت-مد
طراحی لباس تخصصی پیشرفته,فناوری مد و پوشاک,میرداماد,مشخص نشده,پنجشنبه ۷ اسفند ۱۴۰۴,پنجشنبه ۳۰ مهر ۱۴۰۵,"۱۳۵,۰۰۰,۰۰۰","۱۳۵,۰۰۰,۰۰۰",پنجشنبه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/6319/طراحی-لباس-تخصصی-پیشرفته
Network+,فناوری اطلاعات و ارتباطات,میرداماد,مشخص نشده,پنجشنبه ۷ اسفند ۱۴۰۴,پنجشنبه ۲۷ فروردین ۱۴۰۵,"۱۵,۰۰۰,۰۰۰","۲۰,۰۰۰,۰۰۰",پنجشنبه ساعت ۱۶:۰۰ تا ۲۱:۰۰,https://mftplus.com/lesson/131612129/Network+
دوره طراحی رابط و تجربه کاربری (UI/UX),فناوری اطلاعات و ارتباطات,میرداماد,مشخص نشده,پنجشنبه ۷ اسفند ۱۴۰۴,پنجشنبه ۱۰ اردیبهشت ۱۴۰۵,"۵۵,۰۰۰,۰۰۰","۶۸,۰۰۰,۰۰۰",پنجشنبه ساعت ۱۴:۳۰ تا ۱۹:۳۰,https://mftplus.com/lesson/5605/دوره-طراحی-رابط-و-تجربه-کاربری-(UI/UX)
طراحی معماری و دکوراسیون داخلی متوسط,معماری,نیاوران,مشخص نشده,پنجشنبه ۷ اسفند ۱۴۰۴,پنجشنبه ۲۵ تیر ۱۴۰۵,"۲۰۶,۰۰۰,۰۰۰","۲۰۶,۰۰۰,۰۰۰",پنجشنبه ساعت ۰۹:۰۰ تا ۱۷:۰۰,https://mftplus.com/lesson/391212126/طراحی-معماری-و-دکوراسیون-داخلی-متوسط
پکیج عکاسی کاربردی,هنر و سینما,سعادت آباد (مرکزی),مشخص نشده,پنجشنبه ۷ اسفند ۱۴۰۴,پنجشنبه ۱۷ دی ۱۴۰۵,"۲۶۷,۸۰۰,۰۰۰","۲۶۷,۸۰۰,۰۰۰",پنجشنبه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/3063/پکیج-عکاسی-کاربردی
زبان انگلیسی A2.3,زبانهای خارجی,انقلاب,مشخص نشده,پنجشنبه ۷ اسفند ۱۴۰۴,پنجشنبه ۳۱ اردیبهشت ۱۴۰۵,"۲۷,۳۰۰,۰۰۰","۲۷,۳۰۰,۰۰۰",پنجشنبه ساعت ۱۴:۳۰ تا ۱۸:۰۰,https://mftplus.com/lesson/231215284/زبان-انگلیسی-A2.3
PLC Advanced: Siemens S7/300 & 400,برق و الکترونیک,سعادت آباد (مرکزی),محمد مقصودی,پنجشنبه ۷ اسفند ۱۴۰۴,پنجشنبه ۲۰ فروردین ۱۴۰۵,"۷۶,۰۰۰,۰۰۰","۷۶,۰۰۰,۰۰۰",پنجشنبه ساعت ۱۴:۰۰ تا ۱۹:۰۰,https://mftplus.com/lesson/4550/PLC-Advanced:-Siemens-S7/300-&-400
کارگاه تخصصی دوخت شلوار,فناوری مد و پوشاک,سعادت آباد (مرکزی),مشخص نشده,پنجشنبه ۷ اسفند ۱۴۰۴,پنجشنبه ۲۱ اسفند ۱۴۰۴,"۴۹,۰۰۰,۰۰۰","۴۹,۰۰۰,۰۰۰",پنجشنبه ساعت ۱۴:۰۰ تا ۲۰:۰۰,https://mftplus.com/lesson/6646/کارگاه-تخصصی-دوخت-شلوار
Data Analysis with Python,فناوری اطلاعات و ارتباطات,باملند(شمال غرب),مشخص نشده,پنجشنبه ۷ اسفند ۱۴۰۴,پنجشنبه ۱۰ اردیبهشت ۱۴۰۵,"۵۰,۰۰۰,۰۰۰","۵۰,۰۰۰,۰۰۰",پنجشنبه ساعت ۱۲:۰۰ تا ۱۶:۰۰,https://mftplus.com/lesson/5544/Data-Analysis-with-Python
نصب، راه اندازی، عیب یابی و تعمیر کولر گازی,علوم مهندسی,پارک ساعی,مشخص نشده,پنجشنبه ۷ اسفند ۱۴۰۴,پنجشنبه ۲۸ اسفند ۱۴۰۴,"۱۰۹,۰۰۰,۰۰۰","۱۰۹,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۲۰:۳۰ | پنجشنبه ساعت ۱۴:۳۰ تا ۲۰:۳۰,https://mftplus.com/lesson/4909/نصب،-راه-اندازی،-عیب-یابی-و-تعمیر-کولر-گازی
دوره طراحی رابط و تجربه کاربری (UI/UX),فناوری اطلاعات و ارتباطات,سعادت آباد (مرکزی),پرناز کاظمی,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱۸ اردیبهشت ۱۴۰۵,"۵۵,۰۰۰,۰۰۰","۶۸,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/5605/دوره-طراحی-رابط-و-تجربه-کاربری-(UI/UX)
نرم افزار Arc GIS (سطح یک),علوم مهندسی,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۴ اردیبهشت ۱۴۰۵,"۵۹,۰۰۰,۰۰۰","۵۹,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/153412124/نرم-افزار-Arc-GIS-(سطح-یک)
الکترونیک مقدماتی,برق و الکترونیک,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۲۵ اردیبهشت ۱۴۰۵,"۶۳,۰۰۰,۰۰۰","۶۳,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۲۰:۰۰,https://mftplus.com/lesson/5230/الکترونیک-مقدماتی
عکاسی دیجیتال,هنر و سینما,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۲۹ خرداد ۱۴۰۵,"۸۵,۹۰۰,۰۰۰","۸۵,۹۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/4919/عکاسی-دیجیتال
مدیریت بازاریابی دیجیتال,مدیریت و کسب و کار,زعفرانیه,مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۲۶ تیر ۱۴۰۵,"۱۰۸,۰۰۰,۰۰۰","۱۱۸,۸۰۰,۰۰۰",جمعه ساعت ۱۷:۰۰ تا ۲۰:۰۰,https://mftplus.com/lesson/4375/مدیریت-بازاریابی-دیجیتال
عکاسی با موبایل,تولید محتوا,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۴ اردیبهشت ۱۴۰۵,"۴۶,۱۰۰,۰۰۰","۴۶,۱۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/6519/عکاسی-با-موبایل
Wordpress & WooCommerce Essential Training,فناوری اطلاعات و ارتباطات,پارک ساعی,مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱ خرداد ۱۴۰۵,"۴۱,۰۰۰,۰۰۰","۵۳,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۱۸:۰۰,https://mftplus.com/lesson/5202/Wordpress-&-WooCommerce-Essential-Training
میکروکنترلرهای ARM,برق و الکترونیک,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱ خرداد ۱۴۰۵,"۷۸,۰۰۰,۰۰۰","۷۸,۰۰۰,۰۰۰",جمعه ساعت ۱۶:۰۰ تا ۲۱:۰۰,https://mftplus.com/lesson/4603/میکروکنترلرهای-ARM
نرم افزار Revit MEP مکانیکال,علوم مهندسی,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱۱ اردیبهشت ۱۴۰۵,"۷۵,۰۰۰,۰۰۰","۷۵,۰۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/154312124/نرم-افزار-Revit-MEP-مکانیکال
اجرا، فن بیان و سخنوری,هنر و سینما,زعفرانیه,مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱۸ اردیبهشت ۱۴۰۵,"۵۶,۰۰۰,۰۰۰","۵۶,۰۰۰,۰۰۰",جمعه ساعت ۱۳:۰۰ تا ۱۶:۰۰,https://mftplus.com/lesson/3962/اجرا،-فن-بیان-و-سخنوری
تولید محتوا با کپ کات,تولید محتوا,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۲۸ فروردین ۱۴۰۵,"۵۰,۰۰۰,۰۰۰","۵۰,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۱۹:۳۰,https://mftplus.com/lesson/5968/تولید-محتوا-با-کپ-کات
نقشه کشی صنعتی پیشرفته,علوم مهندسی,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱۱ اردیبهشت ۱۴۰۵,"۷۲,۵۰۰,۰۰۰","۷۲,۵۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۲۰:۳۰,https://mftplus.com/lesson/4265/نقشه-کشی-صنعتی-پیشرفته
شبیه سازی فرایند با نرم افزار HYSYS سطح دو,علوم مهندسی,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱۱ اردیبهشت ۱۴۰۵,"۶۵,۰۰۰,۰۰۰","۶۵,۰۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/153515126/شبیه-سازی-فرایند-با-نرم-افزار-HYSYS-سطح-دو
"طراحی نقشه های فرایندی و تحلیل مخاطرات (PFD, P&ID, HAZOP)",علوم مهندسی,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۴ اردیبهشت ۱۴۰۵,"۷۵,۰۰۰,۰۰۰","۷۵,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۲۰:۳۰,"https://mftplus.com/lesson/153515129/طراحی-نقشه-های-فرایندی-و-تحلیل-مخاطرات-(PFD,-P&ID,-HAZOP)"
آشنایی مقدماتی با جوش و فرایندهای جوشکاری,علوم مهندسی,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۲۱ فروردین ۱۴۰۵,"۶۵,۰۰۰,۰۰۰","۶۵,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۲۰:۳۰,https://mftplus.com/lesson/153613123/آشنایی-مقدماتی-با-جوش-و-فرایندهای-جوشکاری
قانون پایانه های فروشگاهی و سامانه مودیان,علوم مالی و حسابداری,پارک ساعی,مجتبی ابویسانی,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱۵ اسفند ۱۴۰۴,"۱۵,۹۰۰,۰۰۰","۱۵,۹۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۱۸:۰۰,https://mftplus.com/lesson/5207/قانون-پایانه-های-فروشگاهی-و-سامانه-مودیان
نرم افزار Revit معماری پیشرفته,معماری,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱۸ اردیبهشت ۱۴۰۵,"۸۱,۰۰۰,۰۰۰","۸۱,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۱۹:۰۰,https://mftplus.com/lesson/6367/نرم-افزار-Revit-معماری-پیشرفته
دوره جامع نرم افزار Arc GIS,علوم مهندسی,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱ خرداد ۱۴۰۵,"۹۹,۰۰۰,۰۰۰","۹۹,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/5348/دوره-جامع-نرم-افزار-Arc-GIS
نرم افزار Arc GIS (سطح یک),علوم مهندسی,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۲۸ فروردین ۱۴۰۵,"۵۹,۰۰۰,۰۰۰","۵۹,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/153412124/نرم-افزار-Arc-GIS-(سطح-یک)
ICDL Pack 2021,فناوری اطلاعات و ارتباطات,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۶ شهریور ۱۴۰۵,"۶۳,۰۰۰,۰۰۰","۸۱,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۲۰:۰۰,https://mftplus.com/lesson/5575/ICDL-Pack-2021
ICDL 2021 Level 1,فناوری اطلاعات و ارتباطات,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۲۲ خرداد ۱۴۰۵,"۳۸,۰۰۰,۰۰۰","۴۹,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۲۰:۰۰,https://mftplus.com/lesson/5571/ICDL-2021-Level-1
تهیه و سرو حرفه ای نوشیدنی های سرد,تشریفات و گردشگری,پارک ساعی,مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۲۹ اسفند ۱۴۰۴,"۱۰۴,۰۰۰,۰۰۰","۱۰۴,۰۰۰,۰۰۰",جمعه ساعت ۱۰:۰۰ تا ۱۸:۰۰,https://mftplus.com/lesson/3832/تهیه-و-سرو-حرفه-ای-نوشیدنی-های-سرد
MATLAB سطح دو,علوم مهندسی,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۴ اردیبهشت ۱۴۰۵,"۶۵,۰۰۰,۰۰۰","۶۵,۰۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/154212127/MATLAB-سطح-دو
اصول مدیریت پروژه بر اساس استاندارد PRINCE 2,علوم مهندسی,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۲۱ فروردین ۱۴۰۵,"۵۲,۵۰۰,۰۰۰","۵۲,۵۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/3137/اصول-مدیریت-پروژه-بر-اساس-استاندارد-PRINCE-2
ایمنی، بهداشت و محیط زیست (HSE) پیشرفته,علوم مهندسی,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱۱ اردیبهشت ۱۴۰۵,"۶۵,۰۰۰,۰۰۰","۶۵,۰۰۰,۰۰۰",جمعه ساعت ۱۵:۰۰ تا ۲۰:۰۰,https://mftplus.com/lesson/154113124/ایمنی،-بهداشت-و-محیط-زیست-(HSE)-پیشرفته
طراحی مکانیکی به کمک CATIA I,علوم مهندسی,اسلامشهر,مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۲۵ اردیبهشت ۱۴۰۵,"۷۹,۰۰۰,۰۰۰","۷۹,۰۰۰,۰۰۰",جمعه ساعت ۱۵:۰۰ تا ۲۱:۰۰,https://mftplus.com/lesson/153718143/طراحی-مکانیکی-به-کمک-CATIA-I
دوره مهارت های فروش و دیسپنسینگ در عینک سازی,دانش سلامت,پارک ساعی,مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,پنجشنبه ۱۴ اسفند ۱۴۰۴,"۴۸,۰۰۰,۰۰۰","۴۸,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۸:۰۰ | پنجشنبه ساعت ۰۹:۰۰ تا ۱۸:۰۰,https://mftplus.com/lesson/6579/دوره-مهارت-های-فروش-و-دیسپنسینگ-در-عینک-سازی
Microsoft Office Excel 2021,فناوری اطلاعات و ارتباطات,اکباتان,مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱۴ فروردین ۱۴۰۵,"۲۳,۰۰۰,۰۰۰","۲۸,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/5578/Microsoft-Office-Excel-2021
مقدمه ای بر الگوریتم و برنامه نویسی,فناوری اطلاعات و ارتباطات,تهرانپارس,علی اصغر صالحی,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱۱ اردیبهشت ۱۴۰۵,"۳۳,۰۰۰,۰۰۰","۳۳,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۱۹:۰۰,https://mftplus.com/lesson/132017130/مقدمه-ای-بر-الگوریتم-و-برنامه-نویسی
PLC Basics:  Siemens S7/300 & 400,برق و الکترونیک,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۲۱ فروردین ۱۴۰۵,"۷۰,۰۰۰,۰۰۰","۷۰,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۲۰:۳۰,https://mftplus.com/lesson/4549/PLC-Basics:-Siemens-S7/300-&-400
ICDL 2021 Level 2,فناوری اطلاعات و ارتباطات,اکباتان,مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۸ خرداد ۱۴۰۵,"۳۵,۰۰۰,۰۰۰","۴۴,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/5573/ICDL-2021-Level-2
تلفیقی Word+Excel 2021,فناوری اطلاعات و ارتباطات,سیدخندان,مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱ خرداد ۱۴۰۵,"۴۵,۰۰۰,۰۰۰","۴۵,۰۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۳:۰۰,https://mftplus.com/lesson/5976/تلفیقی-Word+Excel-2021
اجرا، فن بیان و سخنوری,هنر و سینما,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۲۸ فروردین ۱۴۰۵,"۵۶,۰۰۰,۰۰۰","۵۶,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/3962/اجرا،-فن-بیان-و-سخنوری
اصول طراحی، انتخاب و تعمیرات کمپرسورهای صنعتی,علوم مهندسی,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱۸ اردیبهشت ۱۴۰۵,"۸۹,۰۰۰,۰۰۰","۸۹,۰۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/4887/اصول-طراحی،-انتخاب-و-تعمیرات-کمپرسورهای-صنعتی
طراحی و محاسبات غیرخطی سازه به کمک نرم افزار SAP 2000,علوم مهندسی,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۲۵ اردیبهشت ۱۴۰۵,"۹۷,۵۰۰,۰۰۰","۹۷,۵۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۲۰:۳۰,https://mftplus.com/lesson/153812127/طراحی-و-محاسبات-غیرخطی-سازه-به-کمک-نرم-افزار-SAP-2000
دوره جامع تحلیل آماری داده ها به کمک نرم افزار SPSS,علوم مهندسی,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱۱ اردیبهشت ۱۴۰۵,"۷۹,۰۰۰,۰۰۰","۷۹,۰۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/5339/دوره-جامع-تحلیل-آماری-داده-ها-به-کمک-نرم-افزار-SPSS
تحلیل های آماری داده ها به کمک نرم افزار SPSS - سطح یک,علوم مهندسی,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱۴ فروردین ۱۴۰۵,"۴۵,۰۰۰,۰۰۰","۴۵,۰۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/154212125/تحلیل-های-آماری-داده-ها-به-کمک-نرم-افزار-SPSS-سطح-یک
دوره جامع نرم افزار Arc GIS,علوم مهندسی,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۸ خرداد ۱۴۰۵,"۹۹,۰۰۰,۰۰۰","۹۹,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/5348/دوره-جامع-نرم-افزار-Arc-GIS
مراقبت و زیبایی دست و ناخن,دانش سلامت,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱۱ اردیبهشت ۱۴۰۵,"۷۲,۸۰۰,۰۰۰","۷۲,۸۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/4960/مراقبت-و-زیبایی-دست-و-ناخن
کارگاه بستن حسابها,علوم مالی و حسابداری,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۸ اسفند ۱۴۰۴,"۱۰,۵۰۰,۰۰۰","۱۰,۵۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/4273/کارگاه-بستن-حسابها
نرم افزار Revit معماری,معماری,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۸ خرداد ۱۴۰۵,"۸۹,۰۰۰,۰۰۰","۸۹,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/391412129/نرم-افزار-Revit-معماری
دوره ی جامع بازسازی و اجرای پروژه های طراحی داخلی,معماری,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱۱ اردیبهشت ۱۴۰۵,"۱۴۸,۰۰۰,۰۰۰","۱۴۸,۰۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/391612165/دوره-ی-جامع-بازسازی-و-اجرای-پروژه-های-طراحی-داخلی
قانون پایانه های فروشگاهی و سامانه مودیان,علوم مالی و حسابداری,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۸ اسفند ۱۴۰۴,"۱۵,۹۰۰,۰۰۰","۱۵,۹۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۷:۰۰,https://mftplus.com/lesson/5207/قانون-پایانه-های-فروشگاهی-و-سامانه-مودیان
نرم افزار ANSYS WORKBENCH (مقدماتی),علوم مهندسی,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱۸ اردیبهشت ۱۴۰۵,"۷۹,۰۰۰,۰۰۰","۷۹,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۲۰:۳۰,https://mftplus.com/lesson/153716123/نرم-افزار-ANSYS-WORKBENCH-(مقدماتی)
طراحی و نقشه کشی مکانیکی با AutoCAD Mechanical,علوم مهندسی,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱۸ اردیبهشت ۱۴۰۵,"۶۹,۰۰۰,۰۰۰","۶۹,۰۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/153718123/طراحی-و-نقشه-کشی-مکانیکی-با-AutoCAD-Mechanical
ماشینکاری به کمک NX III,علوم مهندسی,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱۱ اردیبهشت ۱۴۰۵,"۸۹,۰۰۰,۰۰۰","۸۹,۰۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/153718133/ماشینکاری-به-کمک-NX-III
نرم‌افزار CARRIER,علوم مهندسی,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۲۸ فروردین ۱۴۰۵,"۶۹,۰۰۰,۰۰۰","۶۹,۰۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/154312123/نرم‌افزار-CARRIER
مبانی، تشریح الزامات و استقرار سیستم مدیریت کیفیت ISO 9001:2015,علوم مهندسی,سعادت آباد (مرکزی),مشخص نشده,جمعه ۸ اسفند ۱۴۰۴,جمعه ۱۴ فروردین ۱۴۰۵,"۶۵,۰۰۰,۰۰۰","۶۵,۰۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/154114124/مبانی،-تشریح-الزامات-و-استقرار-سیستم-مدیریت-کیفیت-ISO-9001:2015
